BE,48,1967,0,0,1,0,3,x,0,x,0,x,x,3,0,0,0,0,
HS,52,1967,0,0,0,0,3,x,0,a,0,v,g,4,0,0,0,0,pretty good- missed speaker often
Ag,38,1967,0,0,0,0,7,b,0,a,0,a,g,3,0,0,0,0,
AL,59,1967,0,0,0,0,7,x,0,a,0,v,g,4,0,0,0,1,Complements our bt ell
TD,68,1967,0,0,0,0,6,x,0,p,0,a,x,3,0,0,1,0,
AS,2,2035,0,0,1,0,0,f,0,x,0,n,x,4,1,0,0,0,
sc,12,2035,0,0,0,0,0,x,0,x,0,v,e,3,0,0,0,0,def only
AL,18,2035,0,0,0,0,0,x,0,x,0,x,x,3,0,0,0,0,"Did not work well, moved but could not intake"
HS,31,2035,0,0,0,0,0,x,0,x,0,a,a,3,0,0,1,0,had a dropped note on it for most of the time
gc,40,2035,0,0,0,0,0,x,0,x,0,n,x,1,0,0,0,0,didnt ally do anything
sc,47,2035,0,0,0,0,0,x,0,x,0,x,b,1,0,0,0,0,mech does not worky worky
AD,63,2035,0,0,1,0,0,f,0,p,0,n,b,2,0,0,0,0,floor intake ddit. work tried a long time and defended
AS,3,2073,1,0,2,0,7,f,0,x,0,a,x,4,0,0,0,0,Consistent shots
Ps,9,2073,0,1,0,0,0,x,0,x,0,a,e,3,0,0,0,0,
EZ,16,2073,1,0,1,1,0,f,4.5,o,0,a,x,4,0,0,1,0,a little slow bc it stops moving sometimes
AD,25,2073,0,0,0,5,0,x,0,o,0,a,x,4,0,0,0,1,
EZ,38,2073,0,0,1,2,0,f,4.2,o,0,v,a,5,0,0,0,1,"pretty consistent, note got stuck in mech"
AD,43,2073,0,0,0,3,2,b,0,x,0,v,x,4,0,0,0,1,
AD,25,2073,0,0,0,5,0,x,0,o,0,a,x,4,0,0,0,1,
HS,50,2073,0,0,2,3,1,x,0,x,0,a,x,4,0,0,0,1,pretty good- missed speaker often
Sp,63,2073,1,0,2,0,4,x,6.1,o,0,a,a,3,0,0,0,0,
AY,69,2073,0,0,0,0,5,s,0,o,0,v,x,5,0,0,0,1,
AL,4,2288,0,0,2,4,1,f,0,x,0,a,g,4,0,0,0,0,"Amp and speaker consistent, driving a little ineffectiv"
DU,9,2288,0,0,0,4,1,f,0,x,0,a,a,4,0,0,0,1,missed auto but 80% consistent
AY,15,2288,1,0,0,0,3,b,0,s,0,a,x,3,0,0,0,0,
BE,32,2288,1,0,1,4,0,f,0,p,0,a,g,4,0,0,0,1,
Ag,39,2288,0,0,0,0,1,b,0,x,0,n,a,3,1,0,1,0,
TD,43,2288,1,0,1,0,7,f,0,p,0,v,x,5,0,0,0,0,
EZ,52,2288,1,0,1,0,9,f,0,x,0,v,x,4,0,0,0,1,good cycles.
Ag,39,2288,0,0,0,0,1,b,0,x,0,n,a,3,1,0,1,0,
DU,75,2288,0,0,2,0,7,f,0,p,0,v,x,4,0,0,0,1,Dropped one note missed a few
AL,2,2367,0,0,1,2,1,f,0,s,0,n,a,2,0,0,0,0,"Pretty slow, speaker and amp inconsistent. Driver ineff"
DU,10,2367,0,0,1,3,0,f,3.7,o,0,a,x,2,0,0,1,0,Stopppting sppting speaker and just did amp m
sc,15,2367,0,0,1,1,0,b,0,o,0,n,x,1,0,0,0,0,note stuck
sc,42,2367,0,0,1,4,0,f,0,o,0,x,x,3,0,0,0,0,amp only
sc,42,2367,0,0,1,4,0,f,0,o,0,x,x,3,0,0,0,0,amp only
DU,49,2367,0,0,0,6,0,f,0,h,0,a,x,2,0,0,0,0,Did harmony with us and got 6 amps while defended
Ag,42,2367,0,0,0,3,0,f,0,o,0,a,a,2,0,0,0,0,
BE,55,2367,0,0,0,0,0,x,0,x,0,x,x,3,1,0,0,0,I think they have issue w battery
